id,user_input,bot_response,category,is_crisis
05676,I turn to distractions that don't help.,"I'm really sorry you're going through this. It's okay to take this one step at a time. Could we notice one small thing that went well recently, no matter how small?",coping-skills,FALSE
00038,I don't know how to manage my stress levels.,Thank you for sharing this with me. It's okay to take this one step at a time. What would being kind to yourself look like in the next hour?,stress-management,FALSE
07038,Setting boundaries makes me feel guilty.,Your feelings are completely valid. It's okay to take this one step at a time. What would being kind to yourself look like in the next hour?,boundaries,FALSE
04212,I struggle to focus on the here and now.,I'm really sorry you're going through this. Small steps still count and add up. Bringing attention back kindly when it wanders is the practice—no need for perfection. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,mindfulness,FALSE
07027,I feel ashamed of past mistakes.,I'm really sorry you're going through this. It's okay to take this one step at a time. What is one personal strength you can lean on right now?,guilt-shame,FALSE
02189,I’ve been feeling isolated lately.,"Your feelings are completely valid. It's okay to take this one step at a time. Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",loneliness,FALSE
08458,I want to be more present in the moment.,Thank you for sharing this with me. Reaching out already shows strength. Try noticing your breath and the feeling of your feet on the floor for one minute. What is one personal strength you can lean on right now?,mindfulness,FALSE
05469,I feel overwhelmed by bills and debt.,I'm really sorry you're going through this. It's okay to take this one step at a time. Would a 60-second grounding exercise help—naming three things you can see and three you can feel?,financial-stress,FALSE
02916,I’m scared I’ll fail my classes.,"It's understandable to feel this way. Reaching out already shows strength. Could you ask a classmate or teacher for a small piece of support on the hardest topic? Would you like to try a brief gratitude check-in: name one person, one place, and one moment you're grateful for today?",academic-stress,FALSE
01179,I can't find motivation to do anything.,"Your feelings are completely valid. Reaching out already shows strength. Could we notice one small thing that went well recently, no matter how small?",motivation,FALSE
08169,I want to bounce back from setbacks better.,"Thank you for sharing this with me. Small steps still count and add up. Could we notice one small thing that went well recently, no matter how small?",resilience,FALSE
06046,My breakup really broke me.,"I'm really sorry you're going through this. You don't have to handle everything alone. Can we identify a tiny, doable next step that aligns with your values?",breakup,FALSE
